OID,FID_,X,Y,BCE_Whitia
0,0,1841610.15487392,5920343.847957841,-0.762721023
1,1,1841817.770013061,5920316.995322328,-0.360937495
2,2,1841816.920969738,5920287.090762701,-0.498737502
3,3,1841604.153742729,5920268.188451453,-0.639219322
4,4,1841573.275257637,5920235.985944661,-0.733005594
5,5,1841540.297829524,5920209.165233722,-0.718491765
6,6,1841769.737339909,5920178.691856007,-0.719949998
7,7,1841490.589578181,5920155.779952547,-0.765999973
8,8,1841866.041632084,5920135.571677463,-0.672553569
9,9,1841932.878934923,5920074.619033675,-0.172685717
10,10,1841926.453931051,5920049.53870488,-0.53429299
11,11,1841941.204975666,5920004.226584534,-0.552349997
12,12,1841531.146599316,5919965.985068555,-0.760500044
13,13,1842018.192730108,5919924.823533953,-0.729787877
14,14,1841493.67658572,5919917.166677264,-0.76004374
15,15,1841527.156428171,5919919.542626644,-0.444199978
16,16,1841520.87237657,5919886.466840927,-0.760556945
17,17,1841488.399285096,5919882.399642089,-0.758186929
18,18,1841467.519109997,5919843.086928135,-0.758031161
19,19,1841535.625142574,5919841.155512197,-0.758273305
20,20,1841887.673384894,5919821.943510124,-0.66318181
21,21,1841483.588266772,5919825.339194402,-0.760916009
22,22,1841527.047229808,5919821.446395732,-0.758227861
23,23,1841878.447677172,5919802.937142287,-0.697243511
24,24,1841440.184028884,5919805.153591074,-0.756439245
25,25,1841518.469352421,5919801.737272079,-0.758124238
26,26,1841425.619825905,5919779.42961008,-0.756584912
27,27,1841501.756071677,5919778.723164935,-0.758466498
28,28,1841454.933763274,5919772.593404094,-0.760789971
29,29,1841485.147567549,5919757.789351304,-0.758912504
30,30,1841869.701680972,5919746.834638997,2.84268963
31,31,1841436.922754642,5919742.532639299,-0.760941158
32,32,1841382.001534058,5919738.721940335,-0.750073958
33,33,1841363.83152616,5919721.323987209,-0.747850014
34,34,1841417.419358757,5919727.720126679,-0.761141438
35,35,1841868.610171895,5919707.001582018,-0.499362501
36,36,1841355.536643436,5919711.582902983,-0.746800018
37,37,1841459.51857488,5919720.411706771,-0.759069367
38,38,1841379.875353335,5919700.916840442,-0.756795928
39,39,1841443.389811551,5919699.116221942,-0.759112502
40,40,1841391.036986276,5919690.974975909,-0.761421083
41,41,1841931.859477774,5919675.27612633,0.431575002
42,42,1841947.903222645,5919664.106343691,-0.136038468
43,43,1841957.652903816,5919644.583056313,-0.111999996
44,44,1841384.568605533,5919639.834525811,-0.75372381
45,45,1841319.814828536,5919582.904851023,-0.727550004
46,46,1841255.152210831,5919564.784782271,0.497850001
47,47,1841393.952809524,5919510.970080621,-0.734362509
48,48,1841372.913490004,5919481.839257754,-0.723500029
49,49,1841292.227252497,5919464.173730616,-0.715375029
50,50,1841905.856902146,5919505.391580312,-0.204435106
51,51,1841271.034162627,5919429.968028738,-0.711633812
52,52,1841603.305175463,5919400.282187382,-0.805520833
53,53,1841891.120236839,5919407.901409038,-0.001395722
54,54,1841185.528629053,5919377.41106452,-0.681418185
55,55,1841208.743853973,5919361.022759486,-0.68940179
56,56,1841577.713406364,5919346.139301336,-0.764250024
57,57,1841850.105378904,5919337.822625069,-0.07024242
58,58,1839109.57980984,5919424.942595741,-0.237858889
59,59,1839001.454811429,5919389.500450587,-0.287700937
60,60,1841136.044970144,5919328.931724745,-0.695909079
61,61,1841556.835040953,5919316.802828473,-0.19131251
62,62,1839011.482905139,5919380.780102898,-0.173459448
63,63,1839041.202935778,5919383.241010034,-0.231518687
64,64,1839201.3545274,5919379.083761427,-0.29865948
65,65,1841183.834452382,5919317.601969521,-0.70358931
66,66,1838970.342223508,5919433.27495574,-0.249453999
67,67,1839238.295134925,5919359.923137615,-0.27921763
68,68,1838915.635242929,5919356.408527749,-0.250672731
69,69,1839007.121649006,5919353.948365607,-0.23414644
70,70,1839031.515795533,5919347.583596549,-0.254568805
